Full name,Unique Employee ID,Department,Position,Employee Type,Employee Type 2,Working hours,Hourly rate,Employment start date,Reporting to,Reporting to ID,Separation Reason,Gender,Ethnicity,Age,Termination Date ,Region,Report Date
Christopher Barker,339698,Sales,"Therapist, horticultural",Contractor,Temporary,24,69.9536932,2013-01-25,Manager 2,40,,Male,Group D,23,,East,2023-09-01
Susan Fox,318057,Accounting,Pension scheme manager,Full-time,Permanent,40,34.30188955,2013-01-26,Manager 9,48,,Male,Group E,44,,North,2023-09-01
Kellie Yoder,967396,Production,Transport planner,Part-time,Permanent,32,37.63610973,2013-01-28,Manager 3,14,Involuntary,Male,Group B,51,2019-07-16,Midwest,2023-09-01
Andrea Dunlap,909762,Legal,Television camera operator,Part-time,Temporary,24,85.36883617,2013-01-31,Manager 31,2,Voluntary,Male,Group c,65,2014-01-03,East,2023-09-01
Corey Fuller,274289,Accounting,Dancer,Part-time,Temporary,24,78.6816375,2013-02-01,Manager 38,38,Involuntary,Female,Group D,31,2016-10-05,Northwest,2023-09-01
Sabrina Dunn,586030,Tech,Landscape architect,Full-time,Permanent,40,84.9877263,2013-02-03,Manager 37,7,Involuntary,Female,Group A,23,2015-05-22,North,2023-09-01
Robert Ortiz,313540,HR,"Designer, furniture",Contractor,Temporary,24,66.55215662,2013-02-04,Manager 13,37,,Female,Group D,60,,Northwest,2023-09-01
Kirsten Sampson,202465,Legal,Adult nurse,Full-time,Permanent,40,29.07729559,2013-02-06,Manager 3,14,Involuntary,Female,Group c,52,2022-09-28,East,2023-09-01
Summer Jackson,330539,Production,Careers adviser,Part-time,Temporary,24,85.1318437,2013-02-06,Manager 13,37,,Male,Group E,29,,Central,2023-09-01
Brian Johnston,396947,Accounting,Financial controller,Part-time,Temporary,24,29.19494252,2013-02-07,Manager 8,17,Involuntary,Female,Group c,29,2020-04-17,South,2023-09-01
Ian Diaz,210683,IT,TEFL teacher,Contractor,Temporary,24,66.70792268,2013-02-09,Manager 40,18,Involuntary,Female,Group B,47,2021-06-25,South,2023-09-01
Joshua Valenzuela,912644,Legal,Historic buildings inspector/conservation officer,Full-time,Permanent,40,66.3463934,2013-02-10,Manager 30,20,Voluntary,Female,Group A,55,2021-10-11,Northwest,2023-09-01
Danielle Morris,211606,Production,"Chemist, analytical",Full-time,Permanent,40,57.63696363,2013-02-11,Manager 24,22,Involuntary,Female,Group c,60,2022-11-09,Central,2023-09-01
Elizabeth Johnson,447582,Marketing,Community development worker,Part-time,Permanent,32,88.60374735,2013-02-11,Manager 21,45,Voluntary,Male,Group c,28,2015-08-09,Northwest,2023-09-01
Savannah Warren,401013,HR,Psychiatric nurse,Part-time,Temporary,32,48.81518542,2013-02-12,Manager 4,5,Involuntary,Female,Group A,48,2018-09-24,East,2023-09-01
Kevin Hammond,578072,Tech,"Psychologist, forensic",Full-time,Temporary,40,70.07174451,2013-02-12,Manager 15,43,Involuntary,Male,Group B,63,2015-07-03,Central,2023-09-01
Kimberly Foster MD,270716,HR,"Teacher, early years/pre",Part-time,Permanent,32,27.18974395,2013-02-14,Manager 7,31,Voluntary,Male,Group B,27,2021-03-09,Northwest,2023-09-01
Janet Blankenship,515459,Production,Quality manager,Contractor,Temporary,40,67.60544277,2013-02-17,Manager 44,21,Involuntary,Male,Group B,50,2021-08-09,East,2023-09-01
Richard Smith,574162,HR,"Geneticist, molecular",Full-time,Permanent,40,65.60634773,2013-02-17,Manager 24,22,Voluntary,Female,Group A,27,2018-08-03,Midwest,2023-09-01
Daniel Rodgers,818387,Business Management,Garment/textile technologist,Contractor,Permanent,32,63.90537664,2013-02-17,Manager 20,23,Involuntary,Male,Group c,39,2018-03-17,East,2023-09-01
Matthew Payne,929784,Production,Sales executive,Part-time,Permanent,24,78.7955296,2013-02-18,Manager 31,2,Involuntary,Male,Group A,37,2015-09-22,Northwest,2023-09-01
Jessica Lewis,310587,Business Management,Careers adviser,Part-time,Permanent,24,25.91671069,2013-02-20,Manager 35,29,,Female,Group c,52,,East,2023-09-01
Curtis Lawson,871192,Accounting,Broadcast presenter,Contractor,Permanent,40,80.78401723,2013-02-20,Manager 34,10,Involuntary,Female,Group E,54,2016-12-29,Central,2023-09-01
Sandra Vasquez,304429,HR,"Administrator, local government",Part-time,Permanent,24,67.2655583,2013-02-21,Manager 21,45,Voluntary,Male,Group E,64,2019-02-06,Midwest,2023-09-01
Samuel Cook,253462,Sales,Careers information officer,Part-time,Permanent,24,34.45704639,2013-02-22,Manager 22,47,Involuntary,Female,Group E,23,2015-05-01,Central,2023-09-01
Sheena Mcdonald,721128,Production,Naval architect,Part-time,Temporary,32,47.77017266,2013-02-22,Manager 28,6,Voluntary,Male,Group D,27,2017-06-20,Central,2023-09-01
Tyler Pittman,153882,Accounting,Ambulance person,Contractor,Temporary,40,23.11586509,2013-02-23,Manager 19,30,,Female,Group c,60,,North,2023-09-01
Allen Rasmussen,509238,Sales,Clinical molecular geneticist,Contractor,Temporary,24,27.15152951,2013-02-26,Manager 30,20,Voluntary,Male,Group c,43,2016-04-13,North,2023-09-01
Kevin Morris,644763,Marketing,Fitness centre manager,Part-time,Permanent,24,81.22881529,2013-02-26,Manager 40,18,Voluntary,Female,Group D,47,2014-09-23,Northwest,2023-09-01
George Rivas,523511,HR,"Surveyor, building control",Part-time,Temporary,32,31.73527807,2013-02-27,Manager 19,30,Voluntary,Female,Group c,43,2021-04-03,Midwest,2023-09-01
Norma Perez,606746,Production,Advice worker,Contractor,Temporary,32,28.83467975,2013-03-01,Manager 11,16,Involuntary,Male,Group A,41,2020-05-01,North,2023-09-01
Sean Gibson,439769,Production,Quarry manager,Contractor,Permanent,40,87.41929782,2013-03-02,Manager 48,42,Voluntary,Male,Group A,32,2017-03-01,North,2023-09-01
Michael Torres,975546,Legal,Occupational psychologist,Part-time,Permanent,32,23.51500801,2013-03-02,Manager 26,44,Involuntary,Female,Group A,33,2022-09-27,Midwest,2023-09-01
Justin Olson,708250,Legal,"Administrator, local government",Part-time,Temporary,24,28.13653758,2013-03-03,Manager 47,3,Involuntary,Female,Group D,27,2021-07-31,East,2023-09-01
Douglas Tate,137355,Sales,Education administrator,Full-time,Permanent,40,31.14937275,2013-03-06,Manager 39,35,,Male,Group B,43,,Northwest,2023-09-01
Sherri Jackson,441348,Sales,Wellsite geologist,Part-time,Permanent,32,63.67178059,2013-03-06,Manager 36,32,Involuntary,Male,Group E,29,2020-11-05,Midwest,2023-09-01
Terry Rowe,904426,Legal,Ship broker,Contractor,Permanent,40,21.8225774,2013-03-06,Manager 39,35,Voluntary,Male,Group A,28,2017-02-28,Central,2023-09-01
Manuel Ruiz,506380,IT,Podiatrist,Full-time,Temporary,40,38.36080995,2013-03-07,Manager 43,39,Involuntary,Female,Group A,41,2016-08-15,East,2023-09-01
Melissa Padilla,567158,Business Management,Psychiatric nurse,Part-time,Permanent,24,84.30398545,2013-03-10,Manager 7,31,Voluntary,Female,Group c,30,2018-01-12,North,2023-09-01
Mark Leonard,849677,Accounting,Building services engineer,Part-time,Permanent,24,60.60559442,2013-03-10,Manager 24,22,Involuntary,Female,Group c,50,2019-03-25,South,2023-09-01
Sarah Hunt,956445,Business Management,Exhibition designer,Part-time,Temporary,24,31.61566783,2013-03-10,Manager 8,17,Involuntary,Male,Group A,33,2018-10-17,East,2023-09-01
Brandon Gregory,425933,Tech,Communications engineer,Part-time,Permanent,24,24.59404766,2013-03-12,Manager 37,7,Voluntary,Male,Group c,61,2015-12-06,Northwest,2023-09-01
Taylor Moore,724386,Legal,"Psychologist, educational",Contractor,Temporary,32,58.3519106,2013-03-13,Manager 27,1,Voluntary,Female,Group c,62,2020-03-16,North,2023-09-01
Dana Burton,125895,Tech,Training and development officer,Contractor,Permanent,40,53.60498022,2013-03-15,Manager 42,15,,Female,Group E,54,,East,2023-09-01
Sarah Stanley,304711,Legal,"Investment banker, operational",Contractor,Permanent,40,62.07643463,2013-03-15,Manager 5,13,Involuntary,Male,Group B,32,2021-02-09,Northwest,2023-09-01
Nathaniel Hall,339149,Sales,"Accountant, chartered",Contractor,Permanent,24,24.88933623,2013-03-15,Manager 2,40,,Male,Group D,49,,South,2023-09-01
Nicholas Rivera,681439,Legal,Medical technical officer,Full-time,Permanent,40,52.12201467,2013-03-16,Manager 49,36,Involuntary,Female,Group D,57,2020-11-10,Northwest,2023-09-01
James Smith,811187,Business Management,Outdoor activities/education manager,Contractor,Permanent,24,85.69364102,2013-03-16,Manager 20,23,Voluntary,Male,Group c,55,2022-02-15,Central,2023-09-01
Amanda Walker,246278,Production,Product/process development scientist,Full-time,Permanent,40,69.67353846,2013-03-17,Manager 30,20,Voluntary,Female,Group A,64,2021-05-13,East,2023-09-01
Brian Harris,781507,Production,Environmental education officer,Contractor,Permanent,40,35.06757552,2013-03-17,Manager 19,30,Involuntary,Female,Group E,23,2017-03-14,Northwest,2023-09-01
Ryan Fuller,976270,Production,Air broker,Part-time,Permanent,32,28.53472249,2013-03-21,Manager 50,28,Voluntary,Female,Group D,62,2019-05-27,Midwest,2023-09-01
Vincent Benton,460797,Marketing,Information systems manager,Full-time,Temporary,40,88.11767493,2013-03-22,Manager 41,34,Involuntary,Female,Group E,62,2022-07-26,Central,2023-09-01
Alexander Payne,944457,Tech,"Surveyor, commercial/residential",Part-time,Temporary,24,61.7196803,2013-03-22,Manager 2,40,Voluntary,Female,Group E,44,2015-02-28,South,2023-09-01
Diana Warner,270615,Tech,Public relations account executive,Full-time,Temporary,40,22.45257009,2013-03-23,Manager 47,3,Voluntary,Male,Group A,65,2020-03-27,Central,2023-09-01
Patrick Murphy,553333,Logistics,Food technologist,Contractor,Temporary,40,52.15396664,2013-03-23,Manager 17,4,Voluntary,Male,Group B,24,2017-02-17,East,2023-09-01
